,prediction
872,anaerobe
873,anaerobe
874,anaerobe
875,anaerobe
876,anaerobe
877,anaerobe
878,anaerobe
879,facultative
880,anaerobe
881,facultative
882,anaerobe
883,aerobe
884,aerobe
885,anaerobe
886,anaerobe
887,anaerobe
888,anaerobe
889,anaerobe
890,anaerobe
891,anaerobe
892,aerobe
893,facultative
894,anaerobe
895,anaerobe
896,anaerobe
897,facultative
898,facultative
899,anaerobe
900,aerobe
901,anaerobe
902,anaerobe
903,anaerobe
904,anaerobe
905,aerobe
906,anaerobe
907,anaerobe
908,aerobe
909,anaerobe
910,anaerobe
911,anaerobe
912,anaerobe
913,anaerobe
914,aerobe
915,anaerobe
916,aerobe
917,anaerobe
918,aerobe
919,aerobe
920,anaerobe
921,aerobe
922,anaerobe
923,anaerobe
924,aerobe
925,aerobe
926,aerobe
927,anaerobe
928,anaerobe
929,aerobe
930,aerobe
931,aerobe
932,anaerobe
933,anaerobe
934,aerobe
935,anaerobe
936,aerobe
937,anaerobe
938,facultative
939,anaerobe
940,facultative
941,anaerobe
942,anaerobe
943,anaerobe
944,aerobe
945,anaerobe
946,aerobe
947,anaerobe
948,aerobe
949,anaerobe
950,anaerobe
951,anaerobe
952,anaerobe
953,facultative
954,aerobe
955,aerobe
956,anaerobe
957,anaerobe
958,anaerobe
959,facultative
960,anaerobe
961,aerobe
962,anaerobe
963,aerobe
964,anaerobe
965,anaerobe
966,facultative
967,facultative
968,anaerobe
969,aerobe
970,anaerobe
971,anaerobe
972,anaerobe
973,anaerobe
974,anaerobe
975,anaerobe
976,anaerobe
977,aerobe
978,anaerobe
979,anaerobe
980,anaerobe
981,aerobe
982,anaerobe
983,aerobe
984,aerobe
985,anaerobe
986,anaerobe
987,anaerobe
988,facultative
989,facultative
990,anaerobe
991,aerobe
992,aerobe
993,anaerobe
994,anaerobe
995,facultative
996,aerobe
997,anaerobe
998,anaerobe
999,aerobe
1000,anaerobe
1001,facultative
1002,anaerobe
1003,anaerobe
1004,anaerobe
1005,anaerobe
1006,aerobe
1007,facultative
1008,aerobe
1009,anaerobe
1010,facultative
1011,anaerobe
1012,anaerobe
1013,anaerobe
1014,anaerobe
1015,anaerobe
1016,anaerobe
1017,anaerobe
1018,facultative
1019,aerobe
1020,aerobe
1021,facultative
1022,anaerobe
1023,anaerobe
1024,anaerobe
1025,aerobe
1026,anaerobe
1027,anaerobe
1028,anaerobe
1029,anaerobe
1030,anaerobe
1031,anaerobe
1032,anaerobe
1033,anaerobe
1034,aerobe
1035,anaerobe
1036,anaerobe
1037,aerobe
1038,anaerobe
1039,anaerobe
1040,anaerobe
1041,anaerobe
1042,anaerobe
1043,anaerobe
1044,anaerobe
1045,aerobe
1046,anaerobe
1047,anaerobe
1048,aerobe
1049,anaerobe
1050,aerobe
1051,aerobe
1052,facultative
1053,anaerobe
1054,facultative
1055,anaerobe
1056,aerobe
1057,anaerobe
1058,facultative
1059,aerobe
1060,aerobe
1061,aerobe
1062,anaerobe
1063,anaerobe
1064,aerobe
1065,aerobe
1066,anaerobe
1067,aerobe
1068,anaerobe
1069,facultative
1070,aerobe
1071,facultative
1072,anaerobe
1073,anaerobe
1074,anaerobe
1075,anaerobe
1076,anaerobe
1077,anaerobe
1078,anaerobe
1079,facultative
1080,aerobe
1081,aerobe
1082,aerobe
1083,anaerobe
1084,anaerobe
1085,aerobe
1086,anaerobe
1087,anaerobe
1088,anaerobe
1089,anaerobe
1090,anaerobe
1091,anaerobe
1092,aerobe
1093,anaerobe
1094,anaerobe
1095,anaerobe
1096,anaerobe
1097,anaerobe
1098,aerobe
1099,aerobe
1100,anaerobe
1101,anaerobe
1102,anaerobe
1103,anaerobe
1104,aerobe
1105,anaerobe
1106,facultative
1107,aerobe
1108,aerobe
1109,aerobe
1110,anaerobe
1111,aerobe
1112,anaerobe
1113,anaerobe
1114,anaerobe
1115,aerobe
1116,anaerobe
1117,anaerobe
1118,anaerobe
1119,anaerobe
1120,anaerobe
1121,aerobe
1122,anaerobe
1123,anaerobe
1124,aerobe
1125,anaerobe
1126,anaerobe
1127,anaerobe
1128,anaerobe
1129,anaerobe
1130,aerobe
1131,anaerobe
1132,aerobe
1133,anaerobe
1134,aerobe
1135,aerobe
1136,anaerobe
1137,anaerobe
1138,facultative
1139,anaerobe
1140,anaerobe
1141,anaerobe
1142,anaerobe
1143,facultative
1144,aerobe
1145,anaerobe
1146,aerobe
1147,facultative
1148,aerobe
1149,anaerobe
1150,anaerobe
1151,anaerobe
1152,anaerobe
1153,anaerobe
1154,anaerobe
1155,facultative
1156,anaerobe
1157,anaerobe
1158,anaerobe
1159,anaerobe
1160,anaerobe
1161,anaerobe
1162,anaerobe
1163,facultative
1164,anaerobe
1165,aerobe
1166,anaerobe
1167,anaerobe
1168,anaerobe
1169,facultative
1170,aerobe
1171,anaerobe
1172,anaerobe
1173,anaerobe
1174,anaerobe
1175,anaerobe
1176,facultative
1177,anaerobe
1178,aerobe
1179,facultative
1180,anaerobe
1181,aerobe
1182,anaerobe
1183,facultative
1184,anaerobe
1185,anaerobe
1186,anaerobe
1187,anaerobe
1188,anaerobe
1189,anaerobe
1190,anaerobe
1191,anaerobe
1192,anaerobe
1193,aerobe
1194,anaerobe
1195,anaerobe
1196,aerobe
1197,anaerobe
1198,anaerobe
1199,aerobe
1200,facultative
1201,aerobe
1202,anaerobe
1203,facultative
1204,anaerobe
1205,anaerobe
1206,anaerobe
1207,aerobe
1208,aerobe
1209,anaerobe
1210,aerobe
1211,anaerobe
1212,facultative
1213,anaerobe
1214,aerobe
1215,anaerobe
1216,facultative
1217,anaerobe
1218,aerobe
1219,facultative
1220,aerobe
1221,anaerobe
1222,anaerobe
1223,anaerobe
1224,anaerobe
1225,anaerobe
1226,aerobe
1227,anaerobe
1228,anaerobe
1229,anaerobe
1230,anaerobe
1231,aerobe
1232,aerobe
1233,anaerobe
1234,aerobe
1235,anaerobe
1236,anaerobe
1237,aerobe
1238,anaerobe
1239,anaerobe
1240,anaerobe
1241,anaerobe
1242,aerobe
1243,aerobe
1244,aerobe
1245,facultative
1246,aerobe
1247,anaerobe
1248,anaerobe
1249,aerobe
1250,anaerobe
1251,anaerobe
1252,anaerobe
1253,aerobe
1254,aerobe
1255,aerobe
1256,anaerobe
1257,facultative
1258,anaerobe
1259,aerobe
1260,aerobe
1261,aerobe
1262,aerobe
1263,anaerobe
1264,anaerobe
1265,anaerobe
1266,anaerobe
1267,anaerobe
1268,aerobe
1269,aerobe
1270,anaerobe
1271,anaerobe
1272,aerobe
1273,anaerobe
1274,anaerobe
1275,anaerobe
1276,aerobe
1277,anaerobe
1278,anaerobe
1279,anaerobe
1280,anaerobe
1281,anaerobe
1282,aerobe
1283,anaerobe
1284,aerobe
1285,aerobe
1286,aerobe
1287,anaerobe
1288,anaerobe
1289,anaerobe
1290,anaerobe
1291,anaerobe
1292,anaerobe
1293,anaerobe
1294,anaerobe
1295,anaerobe
1296,anaerobe
1297,aerobe
1298,anaerobe
1299,anaerobe
1300,aerobe
1301,anaerobe
1302,facultative
1303,anaerobe
1304,anaerobe
1305,aerobe
1306,anaerobe
1307,anaerobe
1308,anaerobe
1309,anaerobe
1310,anaerobe
1311,anaerobe
1312,anaerobe
1313,anaerobe
1314,anaerobe
1315,anaerobe
1316,anaerobe
1317,anaerobe
1318,anaerobe
1319,anaerobe
1320,anaerobe
1321,anaerobe
1322,anaerobe
1323,anaerobe
1324,anaerobe
1325,anaerobe
1326,anaerobe
1327,anaerobe
1328,anaerobe
1329,anaerobe
1330,anaerobe
1331,anaerobe
1332,anaerobe
1333,anaerobe
1334,anaerobe
1335,anaerobe
1336,anaerobe
1337,anaerobe
1338,anaerobe
1339,anaerobe
1340,anaerobe
1341,anaerobe
1342,anaerobe
1343,aerobe
1344,anaerobe
1345,anaerobe
1346,anaerobe
1347,anaerobe
1348,anaerobe
1349,anaerobe
1350,anaerobe
1351,anaerobe
1352,aerobe
1353,aerobe
1354,aerobe
1355,anaerobe
1356,aerobe
1357,anaerobe
1358,anaerobe
1359,anaerobe
1360,anaerobe
1361,anaerobe
1362,anaerobe
1363,anaerobe
1364,facultative
1365,aerobe
1366,aerobe
1367,aerobe
1368,aerobe
1369,anaerobe
1370,anaerobe
1371,facultative
1372,aerobe
1373,anaerobe
1374,anaerobe
1375,aerobe
1376,anaerobe
1377,anaerobe
1378,aerobe
1379,anaerobe
1380,anaerobe
1381,aerobe
1382,anaerobe
1383,anaerobe
1384,anaerobe
1385,aerobe
1386,anaerobe
1387,anaerobe
1388,aerobe
1389,anaerobe
1390,anaerobe
1391,anaerobe
1392,anaerobe
1393,anaerobe
1394,aerobe
1395,anaerobe
1396,aerobe
1397,anaerobe
1398,anaerobe
1399,anaerobe
1400,anaerobe
1401,anaerobe
1402,facultative
1403,anaerobe
1404,aerobe
1405,anaerobe
1406,aerobe
1407,anaerobe
1408,anaerobe
1409,anaerobe
1410,anaerobe
1411,anaerobe
1412,anaerobe
1413,facultative
1414,anaerobe
1415,aerobe
1416,anaerobe
1417,anaerobe
1418,facultative
1419,anaerobe
1420,aerobe
1421,aerobe
1422,aerobe
1423,anaerobe
1424,anaerobe
1425,aerobe
1426,facultative
1427,anaerobe
1428,facultative
1429,aerobe
1430,anaerobe
1431,anaerobe
1432,anaerobe
1433,aerobe
1434,anaerobe
1435,anaerobe
1436,anaerobe
1437,anaerobe
1438,anaerobe
1439,aerobe
1440,aerobe
1441,anaerobe
1442,aerobe
1443,anaerobe
1444,anaerobe
1445,anaerobe
1446,anaerobe
1447,anaerobe
1448,anaerobe
1449,anaerobe
1450,anaerobe
1451,anaerobe
1452,anaerobe
1453,aerobe
1454,anaerobe
1455,aerobe
1456,aerobe
1457,aerobe
1458,anaerobe
1459,facultative
1460,aerobe
1461,anaerobe
1462,anaerobe
1463,anaerobe
1464,aerobe
1465,anaerobe
1466,anaerobe
1467,anaerobe
1468,anaerobe
1469,anaerobe
1470,anaerobe
1471,anaerobe
1472,aerobe
1473,anaerobe
1474,aerobe
1475,anaerobe
1476,anaerobe
1477,anaerobe
1478,aerobe
1479,anaerobe
1480,facultative
1481,anaerobe
1482,aerobe
1483,anaerobe
1484,anaerobe
1485,anaerobe
1486,anaerobe
1487,aerobe
1488,anaerobe
1489,anaerobe
1490,aerobe
1491,aerobe
1492,anaerobe
1493,aerobe
1494,aerobe
1495,aerobe
1496,aerobe
1497,anaerobe
1498,anaerobe
1499,anaerobe
1500,aerobe
1501,anaerobe
1502,anaerobe
1503,aerobe
1504,aerobe
1505,anaerobe
1506,anaerobe
1507,aerobe
1508,aerobe
1509,anaerobe
1510,anaerobe
1511,anaerobe
1512,facultative
1513,anaerobe
1514,anaerobe
1515,aerobe
1516,facultative
1517,anaerobe
1518,anaerobe
1519,anaerobe
1520,anaerobe
1521,anaerobe
1522,anaerobe
1523,aerobe
1524,anaerobe
1525,anaerobe
1526,aerobe
1527,aerobe
1528,aerobe
1529,facultative
1530,aerobe
1531,anaerobe
1532,anaerobe
1533,anaerobe
1534,anaerobe
1535,aerobe
1536,anaerobe
1537,anaerobe
1538,anaerobe
1539,anaerobe
1540,anaerobe
1541,anaerobe
1542,aerobe
1543,aerobe
1544,anaerobe
1545,anaerobe
1546,anaerobe
1547,anaerobe
1548,anaerobe
1549,anaerobe
1550,facultative
1551,anaerobe
1552,anaerobe
1553,anaerobe
1554,aerobe
1555,aerobe
1556,anaerobe
1557,aerobe
1558,aerobe
1559,anaerobe
1560,facultative
1561,anaerobe
1562,aerobe
1563,anaerobe
1564,aerobe
1565,anaerobe
1566,aerobe
1567,aerobe
1568,anaerobe
1569,aerobe
1570,anaerobe
1571,anaerobe
1572,anaerobe
1573,aerobe
1574,anaerobe
1575,anaerobe
1576,aerobe
1577,anaerobe
1578,anaerobe
1579,aerobe
1580,aerobe
1581,aerobe
1582,anaerobe
1583,anaerobe
1584,anaerobe
1585,anaerobe
1586,anaerobe
1587,anaerobe
1588,anaerobe
1589,anaerobe
1590,anaerobe
1591,anaerobe
1592,anaerobe
1593,anaerobe
1594,aerobe
1595,anaerobe
1596,anaerobe
1597,anaerobe
1598,anaerobe
1599,anaerobe
1600,aerobe
1601,anaerobe
1602,anaerobe
1603,aerobe
1604,aerobe
1605,anaerobe
1606,anaerobe
1607,anaerobe
1608,aerobe
1609,anaerobe
1610,anaerobe
1611,aerobe
1612,facultative
1613,anaerobe
1614,aerobe
1615,aerobe
1616,anaerobe
1617,aerobe
1618,anaerobe
1619,anaerobe
1620,aerobe
1621,anaerobe
1622,facultative
1623,anaerobe
1624,anaerobe
1625,aerobe
1626,facultative
1627,anaerobe
1628,anaerobe
1629,aerobe
1630,anaerobe
1631,aerobe
1632,anaerobe
1633,anaerobe
1634,anaerobe
1635,anaerobe
1636,anaerobe
1637,aerobe
1638,anaerobe
1639,aerobe
1640,aerobe
1641,anaerobe
1642,anaerobe
1643,anaerobe
1644,aerobe
1645,anaerobe
1646,anaerobe
1647,facultative
1648,anaerobe
1649,anaerobe
1650,aerobe
1651,anaerobe
1652,anaerobe
1653,anaerobe
1654,anaerobe
1655,aerobe
1656,anaerobe
1657,anaerobe
1658,aerobe
1659,anaerobe
1660,anaerobe
1661,anaerobe
1662,aerobe
1663,anaerobe
1664,anaerobe
1665,anaerobe
1666,anaerobe
1667,anaerobe
1668,aerobe
1669,anaerobe
1670,facultative
1671,anaerobe
1672,aerobe
1673,anaerobe
1674,anaerobe
1675,aerobe
1676,anaerobe
1677,aerobe
1678,anaerobe
1679,anaerobe
1680,anaerobe
1681,anaerobe
1682,anaerobe
1683,anaerobe
1684,aerobe
1685,anaerobe
1686,anaerobe
1687,aerobe
1688,anaerobe
1689,anaerobe
1690,facultative
1691,anaerobe
1692,anaerobe
1693,aerobe
1694,anaerobe
1695,anaerobe
1696,aerobe
1697,anaerobe
1698,aerobe
1699,aerobe
1700,anaerobe
1701,anaerobe
1702,facultative
1703,anaerobe
1704,aerobe
1705,anaerobe
1706,aerobe
1707,anaerobe
1708,anaerobe
1709,anaerobe
1710,aerobe
1711,anaerobe
1712,anaerobe
1713,anaerobe
1714,anaerobe
1715,anaerobe
1716,aerobe
1717,anaerobe
1718,anaerobe
1719,anaerobe
1720,anaerobe
1721,anaerobe
1722,anaerobe
1723,anaerobe
1724,anaerobe
1725,anaerobe
1726,anaerobe
1727,anaerobe
1728,aerobe
1729,anaerobe
1730,aerobe
1731,anaerobe
1732,aerobe
1733,anaerobe
1734,aerobe
1735,facultative
1736,aerobe
1737,anaerobe
1738,anaerobe
1739,anaerobe
1740,anaerobe
1741,aerobe
1742,aerobe
1743,aerobe
1744,anaerobe
